Analyse Political Party Returns - 2014-15,
Australian Labor Party (ALP), data exported: 29/Jun/2016 01:06,
PayerClientNm,PayerAddressLine1,PayerSuburb,PayerStateAb,PayerPostcode,AmountReceived,ReceiptTyDs,
"The Hon Warren Snowdon MP","Federal Member of Lingiari , PO Box 4007","ALICE SPRINGS","NT","0871","1002","Other Receipt",
"The Hon Wayne Swan MP","Federal Member for Lilley , PO Box 182","NUNDAH","QLD","4012","1650","Other Receipt",
"The Hon Wayne Swan MP","Federal Member for Lilley , PO Box 182","NUNDAH","QLD","4012","1002","Other Receipt",
"The Manildra Group (10607)","6 Frank Street","GLADESVILLE","NSW","2111","27500","Subscription",
"The Manildra Group (10607)","6 Frank Street","GLADESVILLE","NSW","2111","16500","Other Receipt",
"The Manildra Group (10607)","6 Frank Street","GLADESVILLE","NSW","2111","12750","Other Receipt",
"The Manildra Group (10607)","6 Frank Street","GLADESVILLE","NSW","2111","8000","Other Receipt",
"The Manildra Group (10607)","6 Frank Street","GLADESVILLE","NSW","2111","5000","Other Receipt",
"The Manildra Group (10607)","6 Frank Street","GLADESVILLE","NSW","2111","1525","Other Receipt",
"The Pharmacy Guild of Australia","PO Box 7036","Canberra Business Centre","ACT","2610","22000","Other Receipt",
"The Strategic Counsel","414 Killawarra Road","DUFFYS FOREST","NSW","2084","5000","Other Receipt",
"The Strategic Counsel","414 Killawarra Road","DUFFYS FOREST","NSW","2084","3550","Other Receipt",
"The Strategic Counsel","The Strategic Counsel , 414 Killawarra Road","DUFFYS FOREST","NSW","2084","1100","Other Receipt",
"Top Education Institute","G01, 1 Central Ave  Australian Technology Park","EVELEIGH","NSW","2015","2000","Other Receipt",
"Toplace Pty Ltd","121 Majors Bay Road","CONCORD","NSW","2137","3300","Other Receipt",
"United Voice National Office","National Secretary , Locked Bag 9","HAYMARKET","NSW","1240","25000","Donation",
"Universities Australia","GPO Box 1142","CANBERRA","ACT","2601","10000","Other Receipt",
"Universities Australia","GPO Box 1142","CANBERRA","ACT","2601","1500","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","26995","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","23536","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","14779","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","13655","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11293","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11293","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11293","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11253","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11253","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11253","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11218","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11218","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11218","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11214","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11214","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","11214","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","8564","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","3825","Other Receipt",
"VIC Branch ALP","438 Docklands Drive","DOCKLANDS","VIC","3008","2354","Other Receipt",
"Vicland Development Corporation","Level 1, 529 Chapel Street","SOUTH YARRA","VIC","3141","2200","Other Receipt",
"Village Roadshow Limited","Level 1, 500 Chapel Street","SOUTH YARRA","VIC","3141","1500","Other Receipt",
"Village Roadshow Ltd","15 St Georges Road ,","Toorak","VIC","3142","1100","Other Receipt",
"Virgin Australia","PO Box 1035 ,","Spring Hill","QLD","4001","2655","Other Receipt",
"VISA AP (Australia) Pty Ltd","Level 42, 50 Bridge Street","SYDNEY","NSW","2000","35000","Subscription",
"Visa Worldwide pte.Limited","71 Robinson Road #09-01 SINGAPORE","","","","11000","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","19081","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","8413","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","7593","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","5468","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","4350","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","4245","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","4245","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","4245","Other Receipt",
"WA Branch ALP","The State Secretary , PO Box 8117","PERTH BUSINESS CTR","WA","6849","2692","Other Receipt",
"Weber Shandwick","Royal Naval House, 32 Grosvenor Street ,","The Rocks","NSW","2000","1100","Other Receipt",
"Western Institute of Technology","Levels 4-5, 220 Albert Road","SOUTH MELBOURNE","VIC","3205","5000","Other Receipt",
"Westfield Corporation","Level 29, 85 Castlereagh Street","SYDNEY","NSW","2000","11000","Other Receipt",
"Westfield Corporation","Level 29, 85 Castlereagh Street","SYDNEY","NSW","2000","10000","Other Receipt",
"WestGen Pty Ltd","25 Possum Glade ,","Beeliar","WA","6164","2605","Other Receipt",
"WestGen Pty Ltd","25 Possum Glade ,","Beeliar","WA","6164","1100","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2001","1500000","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2007","1000000","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2002","1602","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2004","1389","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2006","1068","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2005","1055","Other Receipt",
"Westpac Banking Corporation","GPO Box 9976","SYDNEY","NSW","2003","1035","Other Receipt",
"Westpac Group","Level 20, 275 Kent Street","SYDNEY","NSW","2000","27500","Subscription",
"Westpac Group","Level 20, 275 Kent Street","Sydney","NSW","2000","2500","Other Receipt",
"Westpac Group","Level 20, 275 Kent Street","SYDNEY","NSW","2000","2500","Other Receipt",
"Westpac Group","Level 20, 275 Kent Street","SYDNEY","NSW","2000","2200","Other Receipt",
"William Hill Australia","PO Box A214","SYDNEY SOUTH","NSW","1235","3300","Other Receipt",
"William Hill Australia","PO Box A214","SYDNEY SOUTH","NSW","1235","3300","Other Receipt",
"Woodside Energy","Woodside Plaza , 240 St Georges Terrace","PERTH","WA","6831","110000","Subscription",
"Woodside Energy","Woodside Plaza , 240 St Georges Terrace","PERTH","WA","6831","2600","Other Receipt",
"Woolworths Limited","PO Box 8000 ,","BELLA VISTA","NSW","2153","27500","Subscription",
"World Vision Australia","1 Vision Drive","BURWOOD EAST","VIC","3151","5000","Other Receipt",
"Yellowco Pty Ltd","6 Bartil Close ,","EPPING","NSW","2121","6600","Other Receipt",
"Zaparas Lawyers","3 Chester Street","OAKLEIGH","VIC","3166","1100","Other Receipt",
